Transitions:
Start: (0, 0)
Move 13: (19, 6) -> (21, 7)
Move 13: (5, 20) -> (6, 22)
Move 13: (20, 5) -> (22, 6)
Move 15: (4, 21) -> (5, 23)
Move 13: (21, 4) -> (23, 5)
Move 13: (3, 22) -> (4, 24)
Move 13: (22, 3) -> (24, 4)
Move 15: (2, 23) -> (3, 25)
Move 15: (23, 2) -> (25, 3)
Move 11: (10, 17) -> (11, 19)
Move 11: (10, 17) -> (12, 18)
Move 11: (11, 16) -> (13, 17)
Move 11: (12, 15) -> (14, 16)
Move 11: (13, 14) -> (15, 15)
Move 11: (14, 13) -> (16, 14)
Move 11: (15, 12) -> (17, 13)
Move 11: (16, 11) -> (18, 12)
Move 11: (17, 10) -> (19, 11)
Move 11: (9, 18) -> (10, 20)
Move 11: (18, 9) -> (20, 10)
Move 13: (8, 19) -> (9, 21)
Move 13: (19, 8) -> (21, 9)
Move 13: (7, 20) -> (8, 22)
Move 13: (20, 7) -> (22, 8)
Move 15: (6, 21) -> (7, 23)
Move 13: (21, 6) -> (23, 7)
Move 13: (5, 22) -> (6, 24)
Move 13: (22, 5) -> (24, 6)
Move 15: (4, 23) -> (5, 25)
Move 15: (23, 4) -> (25, 5)
Move 16: (1, 23) -> (0, 25)
Move 16: (1, 23) -> (2, 25)
Move 14: (0, 24) -> (1, 26)
Move 15: (1, 24) -> (0, 26)
Move 15: (1, 24) -> (2, 26)
Move 15: (3, 24) -> (4, 26)
Move 17: (0, 25) -> (1, 27)
Move 17: (2, 25) -> (3, 27)
Move 14: (8, 18) -> (9, 20)
Move 14: (8, 18) -> (10, 19)
Move 14: (9, 17) -> (11, 18)
Move 14: (10, 16) -> (12, 17)
Move 14: (11, 15) -> (13, 16)
Move 14: (12, 14) -> (14, 15)
Move 14: (13, 13) -> (15, 14)
Move 14: (14, 12) -> (16, 13)
Move 12: (15, 11) -> (17, 12)
Move 12: (16, 10) -> (18, 11)
Move 14: (7, 19) -> (8, 21)
Move 12: (17, 9) -> (19, 10)
Move 12: (6, 20) -> (7, 22)
Move 12: (18, 8) -> (20, 9)
Move 14: (5, 21) -> (6, 23)
Move 12: (19, 7) -> (21, 8)
Move 14: (4, 22) -> (5, 24)
Move 12: (20, 6) -> (22, 7)
Move 16: (3, 23) -> (4, 25)
Move 14: (21, 5) -> (23, 6)
Move 14: (2, 24) -> (3, 26)
Move 14: (22, 4) -> (24, 5)
Move 16: (1, 25) -> (0, 27)
Move 16: (1, 25) -> (2, 27)
Move 16: (0, 26) -> (1, 28)
Move 14: (23, 1) -> (25, 2)
Move 14: (23, 1) -> (25, 0)
Move 14: (23, 3) -> (25, 4)
Move 14: (24, 0) -> (26, 1)
Move 14: (24, 2) -> (26, 3)
Move 15: (24, 1) -> (26, 2)
Move 15: (24, 1) -> (26, 0)
Move 15: (24, 3) -> (26, 4)
Move 15: (25, 0) -> (27, 1)
Move 15: (25, 2) -> (27, 3)
Move 16: (25, 1) -> (27, 2)
Move 16: (25, 1) -> (27, 0)
Move 16: (26, 0) -> (28, 1)
Move 12: (9, 19) -> (10, 21)
Move 12: (9, 19) -> (11, 20)
Move 12: (10, 18) -> (12, 19)
Move 12: (11, 17) -> (13, 18)
Move 12: (12, 16) -> (14, 17)
Move 12: (13, 15) -> (15, 16)
Move 12: (14, 14) -> (16, 15)
Move 12: (15, 13) -> (17, 14)
Move 12: (16, 12) -> (18, 13)
Move 14: (17, 11) -> (19, 12)
Move 12: (18, 10) -> (20, 11)
Move 12: (19, 9) -> (21, 10)
Move 12: (8, 20) -> (9, 22)
Move 12: (20, 8) -> (22, 9)
Move 14: (7, 21) -> (8, 23)
Move 14: (21, 7) -> (23, 8)
Move 14: (6, 22) -> (7, 24)
Move 14: (22, 6) -> (24, 7)
Move 16: (5, 23) -> (6, 25)
Move 14: (23, 5) -> (25, 6)
Move 14: (4, 24) -> (5, 26)
Move 14: (24, 4) -> (26, 5)
Move 16: (3, 25) -> (4, 27)
Move 16: (25, 3) -> (27, 4)
Move 16: (2, 26) -> (3, 28)
Move 16: (26, 2) -> (28, 3)
Move 12: (11, 19) -> (12, 21)
Move 12: (11, 19) -> (13, 20)
Move 12: (12, 18) -> (14, 19)
Move 12: (13, 17) -> (15, 18)
Move 12: (14, 16) -> (16, 17)
Move 12: (15, 15) -> (17, 16)
Move 12: (16, 14) -> (18, 15)
Move 12: (17, 13) -> (19, 14)
Move 12: (18, 12) -> (20, 13)
Move 12: (19, 11) -> (21, 12)
Move 12: (10, 20) -> (11, 22)
Move 12: (20, 10) -> (22, 11)
Move 14: (9, 21) -> (10, 23)
Move 14: (21, 9) -> (23, 10)
Move 14: (8, 22) -> (9, 24)
Move 14: (22, 8) -> (24, 9)
Move 16: (7, 23) -> (8, 25)
Move 14: (23, 7) -> (25, 8)
Move 14: (6, 24) -> (7, 26)
Move 14: (24, 6) -> (26, 7)
Move 16: (5, 25) -> (6, 27)
Move 16: (25, 5) -> (27, 6)
Move 16: (4, 26) -> (5, 28)
Move 16: (26, 4) -> (28, 5)
Move 15: (1, 26) -> (0, 28)
Move 15: (1, 26) -> (2, 28)
Move 17: (0, 27) -> (1, 29)
Move 18: (1, 27) -> (0, 29)
Move 18: (1, 27) -> (2, 29)
Move 18: (3, 27) -> (4, 29)
Move 16: (0, 28) -> (1, 30)
Move 16: (2, 28) -> (3, 30)
Move 15: (9, 20) -> (10, 22)
Move 15: (9, 20) -> (11, 21)
Move 15: (10, 19) -> (12, 20)
Move 15: (11, 18) -> (13, 19)
Move 15: (12, 17) -> (14, 18)
Move 15: (13, 16) -> (15, 17)
Move 15: (14, 15) -> (16, 16)
Move 15: (15, 14) -> (17, 15)
Move 15: (16, 13) -> (18, 14)
Move 13: (17, 12) -> (19, 13)
Move 13: (18, 11) -> (20, 12)
Move 15: (8, 21) -> (9, 23)
Move 13: (19, 10) -> (21, 11)
Move 13: (7, 22) -> (8, 24)
Move 13: (20, 9) -> (22, 10)
Move 15: (6, 23) -> (7, 25)
Move 13: (21, 8) -> (23, 9)
Move 15: (5, 24) -> (6, 26)
Move 13: (22, 7) -> (24, 8)
Move 17: (4, 25) -> (5, 27)
Move 15: (23, 6) -> (25, 7)
Move 15: (3, 26) -> (4, 28)
Move 15: (24, 5) -> (26, 6)
Move 17: (2, 27) -> (3, 29)
Move 15: (25, 4) -> (27, 5)
Move 17: (1, 28) -> (0, 30)
Move 17: (1, 28) -> (2, 30)
Move 19: (0, 29) -> (1, 31)
Move 15: (26, 1) -> (28, 2)
Move 15: (26, 1) -> (28, 0)
Move 15: (26, 3) -> (28, 4)
Move 17: (27, 0) -> (29, 1)
Move 17: (27, 2) -> (29, 3)
Move 16: (27, 1) -> (29, 2)
Move 16: (27, 1) -> (29, 0)
Move 16: (27, 3) -> (29, 4)
Move 16: (28, 0) -> (30, 1)
Move 16: (28, 2) -> (30, 3)
Move 17: (28, 1) -> (30, 2)
Move 17: (28, 1) -> (30, 0)
Move 17: (29, 0) -> (31, 1)
Move 13: (10, 21) -> (11, 23)
Move 13: (10, 21) -> (12, 22)
Move 13: (11, 20) -> (13, 21)
Move 13: (12, 19) -> (14, 20)
Move 13: (13, 18) -> (15, 19)
Move 13: (14, 17) -> (16, 18)
Move 13: (15, 16) -> (17, 17)
